"file_time","timediff","sample_id","series","vessel","seriavessel","numbers","total_cells","viable_cells","viability","total_cells_per_ml","viable_cells_per_ml","average_diameter","average_circularity"
"2021-03-04 00:34:31.422+03",75,"484120321_v1_d3_m3","484120321","v1","484120321-v1","3",4652,4422,95.1,2.67,2.54,18.3,0.758
"2021-03-03 22:40:17.013+03",0,"465020321R_v1tu_d0_m1","465020321R","v1tu","465020321R-v1tu","1",622,605,97.3,0.358,0.348,15.9,0.867
"2021-03-03 21:38:19.311+03",72,"484120321_v1_d3_m2","484120321","v1","484120321-v1","2",3941,3770,95.7,2.27,2.17,18,0.804
"2021-03-03 21:34:37.017+03",72,"484120321_v1_d3_m1","484120321","v1","484120321-v1","1",4124,3955,95.9,2.37,2.27,18.2,0.806
"2021-03-03 20:05:24.362+03",26,"465020321R_v1_d1_m2","465020321R","v1","465020321R-v1","2",1095,1060,96.8,0.629,0.609,15.9,0.882
"2021-03-03 19:35:09.048+03",15,"207140321_V9_d4_e1","207140321","V9","207140321-V9","1",5108,5071,99.3,14.7,14.6,14.3,0.896
"2021-03-03 19:06:20.339+03",14,"207140321_V8_d4_e1","207140321","V8","207140321-V8","1",4854,4834,99.6,14,13.9,14.4,0.898
"2021-03-03 18:54:21.612+03",14,"207140321_V7_d4_e1","207140321","V7","207140321-V7","1",4744,4713,99.3,13.6,13.5,14.4,0.895
"2021-03-03 18:37:24.784+03",76,"207160321_v5tu_d3_m1","207160321","v5tu","207160321-v5tu","1",4113,4096,99.6,2.36,2.35,15.2,0.886
"2021-03-03 18:02:04.391+03",24,"465020321R_v1_d1_m1","465020321R","v1","465020321R-v1","1",1047,1010,96.5,0.602,0.581,15.6,0.872
"2021-03-03 16:13:54.205+03",267,"484130321_v1_d2_e5","484130321","v1","484130321-v1","5",3585,3411,95.1,2.06,1.96,18.2,0.789
"2021-03-03 16:10:15.575+03",267,"484130321_v1_d2_e4","484130321","v1","484130321-v1","4",4058,3886,95.8,2.33,2.23,18,0.774
"2021-03-03 15:48:21.439+03",267,"484130321_v1_d2_e3","484130321","v1","484130321-v1","3",3575,3396,95,2.05,1.95,18.1,0.805
"2021-03-03 12:23:47.885+03",0,"207180321_v2_d0_m1","207180321","v2","207180321-v2","1",542,541,99.8,0.312,0.311,14.5,0.901
"2021-03-03 11:58:06.738+03",55,"207180321_f2000_d3","207180321","f2000","207180321-f2000","3",5268,5248,99.6,3.03,3.02,15.1,0.876
"2021-03-03 11:54:37.867+03",17,"90100321_f125tu_d1","90100321","f125tu","90100321-f125tu","1",1353,1247,92.2,0.778,0.717,17.5,0.882
"2021-03-03 11:30:07.073+03",62,"484120321_v1_d2_m7","484120321","v1","484120321-v1","7",3022,2680,88.7,1.74,1.54,17.2,0.755
"2021-03-03 11:26:29.453+03",62,"484120321_v1_d2_m6","484120321","v1","484120321-v1","6",3674,3475,94.6,2.11,2,18,0.702
"2021-03-03 11:22:49.648+03",62,"484120321_v1_d2_m5","484120321","v1","484120321-v1","5",3471,3062,88.2,2,1.76,17.5,0.69
"2021-03-03 11:12:53.025+03",62,"484120321_v1_d2_m4","484120321","v1","484120321-v1","4",2891,2519,87.1,1.66,1.45,16.9,0.754
